date,year,document_type,keyword,count,frequency
2000-02-02,2000,statement,inflation,1,0.0049504950495049506
2000-02-02,2000,statement,employment,0,0.0
2000-02-02,2000,statement,unemployment,0,0.0
2000-02-02,2000,statement,labor market,0,0.0
2000-02-02,2000,statement,risks,1,0.0049504950495049506
2000-02-02,2000,statement,uncertainty,0,0.0
2000-02-02,2000,statement,financial conditions,0,0.0
2000-02-02,2000,statement,growth,3,0.01485148514851485
2000-02-02,2000,statement,recession,0,0.0
2000-03-21,2000,statement,inflation,1,0.004807692307692308
2000-03-21,2000,statement,employment,0,0.0
2000-03-21,2000,statement,unemployment,0,0.0
2000-03-21,2000,statement,labor market,0,0.0
2000-03-21,2000,statement,risks,1,0.004807692307692308
2000-03-21,2000,statement,uncertainty,0,0.0
2000-03-21,2000,statement,financial conditions,0,0.0
2000-03-21,2000,statement,growth,2,0.009615384615384616
2000-03-21,2000,statement,recession,0,0.0
2000-05-16,2000,statement,inflation,1,0.0049504950495049506
2000-05-16,2000,statement,employment,0,0.0
2000-05-16,2000,statement,unemployment,0,0.0
2000-05-16,2000,statement,labor market,0,0.0
2000-05-16,2000,statement,risks,1,0.0049504950495049506
2000-05-16,2000,statement,uncertainty,0,0.0
2000-05-16,2000,statement,financial conditions,0,0.0
2000-05-16,2000,statement,growth,2,0.009900990099009901
2000-05-16,2000,statement,recession,0,0.0
2000-06-28,2000,statement,inflation,1,0.0056179775280898875
2000-06-28,2000,statement,employment,0,0.0
2000-06-28,2000,statement,unemployment,0,0.0
2000-06-28,2000,statement,labor market,0,0.0
2000-06-28,2000,statement,risks,1,0.0056179775280898875
2000-06-28,2000,statement,uncertainty,0,0.0
2000-06-28,2000,statement,financial conditions,0,0.0
2000-06-28,2000,statement,growth,3,0.016853932584269662
2000-06-28,2000,statement,recession,0,0.0
2000-08-22,2000,statement,inflation,1,0.0055248618784530384
2000-08-22,2000,statement,employment,0,0.0
2000-08-22,2000,statement,unemployment,0,0.0
2000-08-22,2000,statement,labor market,0,0.0
2000-08-22,2000,statement,risks,1,0.0055248618784530384
2000-08-22,2000,statement,uncertainty,0,0.0
2000-08-22,2000,statement,financial conditions,0,0.0
2000-08-22,2000,statement,growth,4,0.022099447513812154
2000-08-22,2000,statement,recession,0,0.0
2000-10-03,2000,statement,inflation,2,0.010471204188481676
2000-10-03,2000,statement,employment,0,0.0
2000-10-03,2000,statement,unemployment,0,0.0
2000-10-03,2000,statement,labor market,0,0.0
2000-10-03,2000,statement,risks,1,0.005235602094240838
2000-10-03,2000,statement,uncertainty,0,0.0
2000-10-03,2000,statement,financial conditions,0,0.0
2000-10-03,2000,statement,growth,3,0.015706806282722512
2000-10-03,2000,statement,recession,0,0.0
2000-11-15,2000,statement,inflation,3,0.015306122448979591
2000-11-15,2000,statement,employment,0,0.0
2000-11-15,2000,statement,unemployment,0,0.0
2000-11-15,2000,statement,labor market,0,0.0
2000-11-15,2000,statement,risks,1,0.00510204081632653
2000-11-15,2000,statement,uncertainty,0,0.0
2000-11-15,2000,statement,financial conditions,0,0.0
2000-11-15,2000,statement,growth,2,0.01020408163265306
2000-11-15,2000,statement,recession,0,0.0
2000-12-19,2000,statement,inflation,2,0.011904761904761904
2000-12-19,2000,statement,employment,0,0.0
2000-12-19,2000,statement,unemployment,0,0.0
2000-12-19,2000,statement,labor market,0,0.0
2000-12-19,2000,statement,risks,2,0.011904761904761904
2000-12-19,2000,statement,uncertainty,0,0.0
2000-12-19,2000,statement,financial conditions,0,0.0
2000-12-19,2000,statement,growth,2,0.011904761904761904
